Lugar;Espacialidade;"COD IBGE";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)";"Taxa de analfabetismo - 11 a 14 anos (2010)";"Taxa de analfabetismo - 15 a 17 anos (2010)";"Taxa de analfabetismo - 18 a 24 anos (2010)";"Taxa de analfabetismo - 25 a 29 anos (2010)";"Taxa de analfabetismo - 25 anos ou mais (2010)";"Taxa de analfabetismo - 15 anos ou mais (2010)";"Taxa de analfabetismo - 18 anos ou mais (2010)";"Renda per capita (2010)"
"Itamaracá / Clemente / Progresso / Perim / Ribeirão Anicuns (Goiânia , RM Goiânia)";UDH;--;0,709;0,822;0,706;0,99;0,65;0,93;0,35;6,46;5,11;5,45;660,20
"Itatiaia / Morada do Bosque / Shangri-lá (Goiânia , RM Goiânia)";UDH;--;0,759;0,871;0,762;1,46;1,61;0,36;0,57;2,99;2,46;2,52;899,62
"Jaó (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,81;0,00;0,24;0,17;0,94;0,79;0,84;3265,89
"Jardim América / Cepal (Goiânia , RM Goiânia)";UDH;--;0,835;0,904;0,796;0,37;0,88;0,61;0,38;2,19;1,84;1,90;1447,36
"Jardim América / Córrego Cascavel (Goiânia , RM Goiânia)";UDH;--;0,835;0,904;0,796;0,80;0,29;0,87;0,35;2,49;2,10;2,21;1447,36
"Jardim América / Paróquia Santo Expedito (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,70;1,09;0,51;0,47;1,73;1,50;1,52;2089,20
"Jardim América / Parque Amazônia : Córrego Serrinha (Goiânia , RM Goiânia)";UDH;--;0,786;0,908;0,775;1,37;0,59;0,48;1,70;4,06;3,19;3,36;1063,54
"Jardim América / SESC Cidadania (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,68;0,00;0,00;0,00;0,85;0,68;0,72;2089,20
"Jardim Atlântico / Leste Parque Cascavel (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;1,94;0,00;0,81;1,10;8,63;6,78;7,23;937,95
"Jardim Europa / Jardins Florença (Goiânia , RM Goiânia)";UDH;--;1,000;0,940;0,920;0,00;0,00;0,63;0,00;0,29;0,32;0,35;6361,16
"Jardim Goiás / Av. A (Goiânia , RM Goiânia)";UDH;--;0,766;0,869;0,671;2,16;0,00;0,60;1,25;5,79;4,39;4,72;937,95
"Jardim Goiás : Parque Flamboyant (Goiânia , RM Goiânia)";UDH;--;0,987;0,913;0,913;0,39;0,00;0,12;0,13;0,56;0,47;0,49;3714,74
"Jardim Goiás / Saneago / Estádio Serra Dourada (Goiânia , RM Goiânia)";UDH;--;0,966;0,929;0,908;0,00;0,00;0,57;0,00;0,31;0,35;0,37;3265,89
"Jardim Goiás / Shopping Flamboyant (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;0,00;1,37;0,81;0,61;1,31;1,22;1,21;1425,06
"Jardim Planalto / Av. T-9 (Goiânia , RM Goiânia)";UDH;--;0,835;0,904;0,796;1,14;0,00;0,85;0,39;2,04;1,72;1,82;1447,36
"Jardins Madri (Goiânia , RM Goiânia)";UDH;--;0,987;0,913;0,913;0,00;0,00;0,00;0,00;0,29;0,24;0,25;3714,74
"Jardins Milão / Jardins Paris / Jardins Atenas / JardinsVerona (Goiânia , RM Goiânia)";UDH;--;1,000;0,940;0,920;0,00;3,08;0,00;0,00;0,00;0,16;0,00;6361,16
"Madre Germana / Itaipu / Esmeraldas (Goiânia , RM Goiânia)";UDH;--;0,648;0,738;0,537;2,74;1,45;1,07;1,94;9,09;6,94;7,45;451,54
"Marechal Rondon / Centro Oeste / Av. Leste Oeste (Goiânia , RM Goiânia)";UDH;--;0,839;0,910;0,833;0,00;0,89;0,00;0,00;2,37;1,91;1,97;1479,43
"Maria Dilce / Manacá / Jardim Diamantina / Cruzeiro do Sul (Goiânia , RM Goiânia)";UDH;--;0,747;0,861;0,685;1,74;1,73;0,64;0,50;4,38;3,51;3,63;834,53
"Marista : Av. 136 (Goiânia , RM Goiânia)";UDH;--;1,000;0,940;0,920;0,72;1,08;0,20;0,28;0,54;0,52;0,49;6361,16
"Marista : Blocos residenciais (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,00;0,00;0,44;0,00;0,94;0,80;0,83;2089,20
"Morada Nova / Nossa Senhora de Fátima / Cidade Jardim / Hipódromo (Goiânia , RM Goiânia)";UDH;--;0,799;0,893;0,786;0,61;0,88;0,22;0,30;1,97;1,61;1,65;1157,18
"Negrão de Lima / Av. Independência / Big Show (Goiânia , RM Goiânia)";UDH;--;0,771;0,884;0,776;2,00;1,20;0,73;1,20;2,55;2,18;2,23;969,31
"Negrão de Lima / Condomínio Portal dos Lagos / Portal das Serras (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,00;0,00;0,00;0,00;1,35;1,10;1,14;2089,20
"Negrão de Lima / Condomínio Recanto das Praças (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;0,89;3,00;0,31;0,40;2,11;1,83;1,76;1425,06
"Norte Ferroviário (Goiânia , RM Goiânia)";UDH;--;0,733;0,821;0,726;1,28;1,79;0,93;1,71;5,08;4,10;4,26;766,42
"Nova Esperança / Faculdade Alfa / Cândida de Morais (Goiânia , RM Goiânia)";UDH;--;0,712;0,801;0,601;1,60;0,66;0,80;1,58;7,30;5,66;6,02;670,51
"Nova Suiça / Norte da Av. T-63 / Jardim América (Goiânia , RM Goiânia)";UDH;--;0,959;0,934;0,897;0,46;0,45;0,15;0,00;0,65;0,57;0,57;3126,87
"Nova Vila / Vila Jaraguá / Criméia Leste / Pça. Correia Lima (Goiânia , RM Goiânia)";UDH;--;0,812;0,895;0,772;1,17;0,00;0,22;0,59;2,02;1,58;1,67;1254,56
"Novo Horizonte / Av. César Lattes (Goiânia , RM Goiânia)";UDH;--;0,833;0,905;0,847;1,15;1,25;0,00;0,51;1,98;1,68;1,70;1425,06
"Novo Horizonte / Cachoeira Dourada / Vila Boa (Goiânia , RM Goiânia)";UDH;--;0,786;0,908;0,775;1,03;0,42;0,65;0,90;2,51;2,12;2,21;1063,54
"Novo Mundo / Condomínio Metrópoles (Goiânia , RM Goiânia)";UDH;--;0,894;0,937;0,836;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2089,20
"Novo Mundo : Córrego Buriti / Novo Mundo II / Maria Luiza (Goiânia , RM Goiânia)";UDH;--;0,726;0,853;0,678;2,12;1,46;0,91;1,21;7,47;5,91;6,23;733,70
"Novo Mundo : Terminal / Santa Bárbara / Chácara Botafogo (Goiânia , RM Goiânia)";UDH;--;0,747;0,861;0,685;1,00;0,38;0,53;0,79;5,92;4,65;4,95;834,53
"Oeste : Pça. Tamandaré / Marista : Shopping Bougainville (Goiânia , RM Goiânia)";UDH;--;1,000;0,914;0,893;0,24;0,00;0,26;0,28;0,39;0,36;0,37;5124,38
"Parque Acalanto / Vila Vicentina José de Jesus (Goiânia , RM Goiânia)";UDH;--;0,877;0,912;0,858;0,91;0,00;0,95;1,35;2,21;1,92;2,02;1873,15
"Parque Amazônia : Córrego Serrinha / Serrinha / Av. Transbrasiliana (Goiânia , RM Goiânia)";UDH;--;0,874;0,905;0,888;1,29;0,54;0,18;0,62;2,08;1,69;1,76;1840,05
"Parque Amazônia : Pça. Senador José Rodrigues de Morais Filho / Setor dos Afonsos (Goiânia , RM Goiânia)";UDH;--;0,812;0,895;0,772;1,10;0,37;0,65;0,50;3,61;2,94;3,08;1254,56
"Parque Amazônia : Pedro Ludovico / Correios Vila Brasília (Goiânia , RM Goiânia)";UDH;--;0,766;0,878;0,736;1,24;0,00;0,69;1,24;5,45;4,18;4,48;942,98
"Parque Amendoeiras / Santo Hilário / Recanto das Minas Gerais / Lageado (Goiânia , RM Goiânia)";UDH;--;0,720;0,846;0,705;1,43;0,79;0,84;1,32;5,96;4,66;4,96;706,58
"Parque Anhanguera II (Goiânia , RM Goiânia)";UDH;--;0,712;0,801;0,601;0,63;0,33;0,81;0,63;5,40;4,22;4,48;670,51
"Parque Anhanguera / Vila Resende / Jardim Planalto (Goiânia , RM Goiânia)";UDH;--;0,874;0,905;0,888;1,35;0,27;0,44;0,71;1,49;1,24;1,31;1840,05
"Parque Atheneu : Divisa Aparecida (Goiânia , RM Goiânia)";UDH;--;0,790;0,888;0,747;0,92;0,00;0,28;0,36;1,99;1,58;1,68;1090,86
"Parque Atheneu : Parque Municipal Carmo Bairro / Campus II PUC / Mariliza (Goiânia , RM Goiânia)";UDH;--;0,752;0,857;0,767;0,96;0,43;0,47;0,86;3,52;2,76;2,93;859,84
"Parque das Flores / Humaitá / Residencial das Acácias / Jardim Ipê (Goiânia , RM Goiânia)";UDH;--;0,773;0,879;0,739;0,31;0,36;0,14;0,60;2,48;1,95;2,07;981,65
